Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,ADS,251,1,14,2.0301167299780323,8.882714285714286,-0.5,German,FALSE
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,ADS,260,2,13,1.6029670062444594,6.345,-0.5,German,FALSE
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,IDS,251,1,14,1.7694492305930332,7.712285714285715,0.5,German,FALSE
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,IDS,260,2,13,2.127938677211023,9.311285714285715,0.5,German,FALSE
babylab-potsdam,HPP,b7030,babylab-potsdam:b7030,German,ADS,200,1,14,2.121595890610152,9.077666666666667,-0.5,German,FALSE
babylab-potsdam,HPP,b7030,babylab-potsdam:b7030,German,IDS,200,1,14,1.518575259978099,5.3345,0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,ADS,218,1,16,1.7261817691748778,6.153625,-0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,ADS,239,2,16,1.2488995113807673,3.593875,-0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,IDS,218,1,16,2.1442669477395024,8.775125,0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,IDS,239,2,16,1.2405228629476872,3.552625,0.5,German,FALSE
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,ADS,216,1,15,1.5319373406049281,4.984714285714285,-0.5,German,FALSE
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,ADS,223,2,14,1.686149878440336,6.647571428571428,-0.5,German,FALSE
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,IDS,216,1,15,1.858101431531208,7.8895,0.5,German,FALSE
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,IDS,223,2,14,1.4807631603942195,5.442142857142857,0.5,German,FALSE
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,ADS,197,1,16,2.298322770212539,11.067875,-0.5,German,FALSE
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,ADS,204,2,14,1.8021121974716847,7.6852857142857145,-0.5,German,FALSE
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,IDS,197,1,16,2.2362103963616518,10.837375,0.5,German,FALSE
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,IDS,204,2,14,1.6152072406787312,5.659,0.5,German,FALSE
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,ADS,257,1,16,2.1548532262393443,9.616125,-0.5,German,FALSE
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,ADS,266,2,15,1.5882686722177908,5.801857142857143,-0.5,German,FALSE
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,IDS,257,1,16,2.3254487385336966,11.575000000000001,0.5,German,FALSE
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,IDS,266,2,15,1.3900365494615197,4.531750000000001,0.5,German,FALSE
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,ADS,206,1,16,2.430194516536,12.024625,-0.5,German,FALSE
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,ADS,213,2,13,1.4949558483169443,5.095,-0.5,German,FALSE
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,IDS,206,1,16,2.191627391255139,9.99,0.5,German,FALSE
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,IDS,213,2,13,2.157162642530067,9.621142857142857,0.5,German,FALSE
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,ADS,191,1,15,2.1360003945994923,9.610142857142858,-0.5,German,FALSE
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,ADS,196,2,14,1.3475018670002692,4.499333333333333,-0.5,German,FALSE
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,IDS,191,1,15,2.2315652152576946,10.956,0.5,German,FALSE
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,IDS,196,2,14,1.6950268087435956,6.942,0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,ADS,254,1,16,1.7513862618981448,6.802375,-0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,ADS,263,2,16,1.704180706213363,5.814,-0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,IDS,254,1,16,2.0127821466813716,8.510125,0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,IDS,263,2,16,1.9207205305724238,7.628375,0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,ADS,220,1,16,1.835091571871141,7.28475,-0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,ADS,230,2,16,1.901748532229191,9.00925,-0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,IDS,220,1,16,2.01410914953806,9.394125,0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,IDS,230,2,16,1.8062778608393986,7.024125,0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,ADS,210,1,16,1.9003445141600972,7.555499999999999,-0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,ADS,217,2,16,1.8826883280743498,8.4225,-0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,IDS,210,1,16,1.9267695522482422,7.93075,0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,IDS,217,2,16,1.9372328309726161,8.92025,0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,ADS,231,1,16,2.054857682824592,8.757125,-0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,ADS,242,2,15,1.2638797379748643,4.03475,-0.5,German,FALSE
